titel,kategori,url,augmented_combined_text
international virksomhedskommunikation fremmedsprog,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-fremmedsprog,"international virksomhedskommunikation fremmedsprog. erhvervssprog. den erhvervssproglige giver dig kendskab til to fremmedsprog samt viden om kulturelle og samfunds og erhvervsmæssige forhold i sprogområdet. kombinerer fremmedsprog og kommunikation og lærer dig at løse internationale kommunikationsopgaver for virksomheder. du får desuden viden om bl. a. markedsføring, organisation og virksomhedsforståelse. : . jobmuligheder dine jobmuligheder som færdiguddannet kan være meget forskellige. du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingsmedarbejder med opgaver inden for salg, eksport og markedsføring. som informations og kommunikationsmedarbejder vil du kunne arbejde med kommunikation internt og eksternt i virksomheder. arbejdsområder kommunikation og erhvervssprogligt arbejde du får desuden viden om bl. a. markedsføring, organisation og virksomhedsforståelse. jeg er passioneret omkring sprog, international kommunikation og kulturel forståelse, og vil gerne bruge disse kompetencer i en erhvervskontekst. jeg brænder for at kombinere fremmedsprog med markedsføring og virksomheders globale udfordringer. min interesse for sprog og kommunikation i internationale virksomheder motiverer mig til at arbejde med oversættelse, salg eller kundedialog. erhvervssproglig jobmuligheder international kommunikation hvad kan jeg blive med i virksomhedskommunikation og fremmedsprog? kombination af sprog og markedsføring i karrieren international account manager med fokus på sprog og kundekommunikation multilingual marketing coordinator arbejde med globale kampagner"
international virksomhedskommunikation i engelsk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-engelsk,"international virksomhedskommunikation i engelsk. erhvervssprog. kombinerer undervisning i sproget engelsk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. er internationalt orienteret og handler om kommunikation på tværs af geografiske og kulturelle grænser. du får også viden om engelsktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. udlandsophold der er mulighed for ophold i udlandet under . : . jobmuligheder dine jobmuligheder som færdiguddannet kan være meget forskellige. du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. du kan også finde job som informations eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. arbejdsområder administrativt arbejde kommunikation og erhvervssprogligt arbejde få mere at vide se oversigt over itr på universiteterne futurepeople. dk du får også viden om engelsktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. jeg er passioneret omkring engelsk som globalt kommunikationsværktøj og interesseret i, hvordan virksomheder bruger sprog til at navigere i internationale markeder. jeg vil gerne kombinere mine sproglige færdigheder med forståelsen af virksomheders kommunikation, især i en interkulturel kontekst. min interesse for engelsk og international markedsføring gør mig nysgerrig efter at lære, hvordan kommunikation kan bryde geografiske barrierer. international virksomhedskommunikation engelsk r jobmuligheder hvad kan jeg blive med en i erhvervssprog og kommunikation? udlandsophold kombineret med engelsk virksomhedskommunikation international marketing coordinator business communication specialist"
international virksomhedskommunikation i fransk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-fransk,"international virksomhedskommunikation i fransk. erhvervssprog. kombinerer undervisning i sproget fransk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. er internationalt orienteret, og du får viden om fransktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. udlandsophold der er mulighed for ophold i udlandet under . : . jobmuligheder dine jobmuligheder som færdiguddannet kan være meget forskellige. du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. du kan også finde job som informations eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. arbejdsområder administrativt arbejde kommunikation og erhvervssprogligt arbejde du får viden om fransktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. jeg brænder for fransk sprog og kultur og er fascineret af, hvordan virksomheder kommunikerer på internationale markeder. jeg vil gerne kombinere mine sproglige færdigheder i fransk med praktisk viden om markedsføring og virksomhedskommunikation. min interesse for fransktalende landes erhvervskultur og global kommunikation gør denne perfekt til mig. international virksomhedskommunikation fransk jobmuligheder hvad kan jeg blive med en i erhvervssprog fransk? udlandsophold under studier i fransk virksomhedskommunikation marketing og kommunikationsmedarbejder med fokus på frankofone markeder sproglig konsulent inden for international virksomhedskorrespondance"
international virksomhedskommunikation i spansk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-spansk,"international virksomhedskommunikation i spansk. erhvervssprog. kombinerer undervisning i sproget spansk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. er internationalt orienteret, og du får også viden om spansktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. der er forskellige specialiseringsmuligheder på . udlandsophold der er mulighed for ophold i udlandet under . : . jobmuligheder dine jobmuligheder som færdiguddannet kan være meget forskellige. du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. du kan også finde job som informations eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. arbejdsområder administrativt arbejde kommunikation og erhvervssprogligt arbejde du får også viden om spansktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. jeg er passioneret omkring spansk sprog og kultur og interesserer mig for, hvordan virksomheder kommunikerer på internationale markeder. jeg vil gerne kombinere mine sprogfærdigheder i spansk med erhvervslivets udfordringer, fx markedsføring eller kommunikation. jeg brænder for at forstå spansktalende landes erhvervskulturer og hvordan man skaber effektiv virksomhedskommunikation. karrieremuligheder med i international virksomhedskommunikation spansk hvilke virksomheder søger spansktalende kommunikationsmedarbejdere? erfaringer med international virksomhedskommunikation i spansk marketingkoordinator med ansvar for de spansktalende markeder sproglig kommunikationskonsulent i en international virksomhed"
international virksomhedskommunikation i tysk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-tysk,"international virksomhedskommunikation i tysk. erhvervssprog. kombinerer undervisning i sproget tysk med undervisning i virksomheders kommunikationsformer samt deres organisering og markedsføring. er internationalt orienteret, og du får også viden om tysktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. der er forskellige specialiseringsmuligheder på . udlandsophold der er mulighed for ophold i udlandet under . erhvervssprog og international virksomhedskommunikation dine konkrete muligheder afhænger af s sammensætning. : . jobmuligheder dine jobmuligheder som færdiguddannet kan være meget forskellige. du kan fx finde arbejde som: sprogmedarbejder inden for oversættelse, korrespondance og kommunikation marketingmedarbejder med opgaver inden for salg, eksport og markedsføring informations eller kommunikationsmedarbejder og arbejde med intern og ekstern kommunikation i virksomheder arbejdsområder administrativt arbejde kommunikation og erhvervssprogligt arbejde . du får også viden om tysktalende landes markedsforhold og deres kultur, erhvervs og samfundsforhold. jeg er passioneret for tysk sprog og kultur og interesserer mig for, hvordan virksomheder kommunikerer på internationale markeder. jeg vil gerne kombinere sproglige færdigheder med erhvervslivets udfordringer, især i tysktalende lande. min interesse for markedsføring og kommunikation i en global kontekst passer godt med en , der integrerer sprog og virksomhedsstrategier. international virksomhedskommunikation tysk jobmuligheder hvad kan jeg blive med en i erhvervssprog og tysk? udlandsophold tysksproget virksomhedskommunikation tysksproget kommunikationskonsulent export og markedskoordinator til dachmarkedet"
anvendt filosofi,Humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi,"anvendt filosofi. humaniora. på i anvendt filosofi lærer du at bruge filosofien i forhold til nutidige problemstillinger. du får færdigheder i at benytte filosofiens teorier og metoder til konkrete udviklingstiltag og problemløsninger i forskellige sammenhænge. efter kan du fortsætte på en kandidat. som færdiguddannet kandidat vil du have jobmuligheder inden for alle brancher, der efterspørger problemorienteret tænkning og konkrete løsninger. det kan fx være i det private erhvervsliv, offentlig administration eller i undervisningsbranchen. undervisningen veksler mellem holdundervisning, forelæsninger og projektarbejde. udlandsophold der er mulighed for ophold i udlandet under . anvendt filosofi : . jobmuligheder du vil have fremtidige jobmuligheder inden for alle brancher, hvor der efterspørges problemorienteret tænkning og konkrete løsninger. det kan fx være i det private erhvervsliv, offentlig administration eller i undervisningsbranchen. arbejdsområder administrativt arbejde undervisning og vejledning du får færdigheder i at benytte filosofiens teorier og metoder til konkrete udviklingstiltag og problemløsninger i forskellige sammenhænge. 1. gymnasieelevs interesser: jeg er fascineret af at analysere samfundsproblemer og finde kreative løsninger. jeg elsker at debattere etiske dilemmaer og undersøge, hvordan teori kan bruges i praksis. jeg vil gerne arbejde med at udvikle strategier eller undervise i kritisk tænkning. 2. googlesøgninger: karrieremuligheder med en grad i anvendt filosofi hvordan bruges filosofi i erhvervslivet? kandidatr efter anvendt filosofi 3. jobtitler: projektkoordinator fokus på problemløsning og strategi skonsulent vejledning eller undervisning i kritisk tænkning."
arkaeologi,Humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/arkaeologi,"arkaeologi. humaniora. på i arkæologi lærer du om fortidens levn i fra de tidligste mennesker til vikingetiden, middelalderen, renæssancen og op til i dag. i arkæologi ved au er en sammenlægning af de to tidligere i henholdsvis historisk arkæologi og forhistorisk arkæologi. beskæftiger sig med fortidige menneskers liv, færden, kultur og samfund. du vil efterfølgende have jobmuligheder inden for arkæologisk virksomhed og formidling. undervisningen veksler mellem forelæsninger, holdundervisning, øvelser og vejledningstimer. feltpraktik uddanelsen omfatter feltpraktik, hvor du deltager i udgravningsarbejde. ud over at lære udgravningsteknik får du viden om, hvordan man bearbejder og systematiserer arkæologiske fund. feltpraktikken foregår fortrinsvis i . arkæologi sustainable heritage management æstetik og kultur : . jobmuligheder den samlede giver dig jobmuligheder inden for arkæologisk virksomhed og formidling. arbejdsområder kultur og museumsarbejde forskning og universitetsundervisning 1. formulering af interesser: jeg er fascineret af fortidens kulturer og samfund, især vikingetiden, og vil gerne arbejde med udgravninger og fortolkning af fund. jeg brænder for at forstå, hvordan mennesker levede gennem historien, og vil gerne kombinere teori med praktisk feltarbejde. jeg er nysgerrig på kulturarv og museer og ønsker at bidrage til bevarelse og formidling af historiske levn. 2. googlesøgninger: hvad laver en arkæolog i ? arkæologi au karrieremuligheder feltpraktik i arkæologi 3. jobtitler: museumsinspektør kulturarvskonsulent"
audiologopaedi,Humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/audiologopaedi,"audiologopaedi. humaniora. i audiologopædi handler om, hvordan man undersøger og forebygger sprog, tale og hørevanskeligheder hos børn og voksne. du får indsigt i, hvordan man frembringer og opfatter tale, og om hvad der kan forårsage sprog, tale og hørevanskeligheder. du får undervisning i såvel sprogvidenskab som i talepædagogiske fag. giver adgang til at læse videre på en kandidat. jobmulighederne som færdiguddannet vil typisk være inden for specialundervisning på kontorer for pædagogisk psykologisk rådgivning ppr, ved kommunikationscentre samt tale og høreinstitutter eller tilsvarende. undervisningen veksler mellem forelæsninger, holdundervisning med studenteroplæg og diskussion, underviserstyret undervisning og mere selvstændigt projektarbejde, som ofte er gruppebaseret. praktik audiologopædi : . jobmuligheder du vil som færdiguddannet have jobmuligheder inden for såvel talepædagogik logopædi som hørepædagogik audiologi. størstedelen af audiologopæder arbejder i det offentlige inden for specialundervisning ved kommunikationscentre og tale og høreinstitutter. du har endvidere mulighed for at arbejde i hospitalssektoren eller ved private firmaer i høreapparatindustrien. arbejdsområder teknisk sundhedsarbejde du får indsigt i, hvordan man frembringer og opfatter tale, og om hvad der kan forårsage sprog, tale og hørevanskeligheder. du får undervisning i såvel sprogvidenskab som i talepædagogiske fag. jeg er fascineret af, hvordan sprog og kommunikation fungerer, og hvordan man kan hjælpe mennesker med tale eller høreudfordringer. jeg brænder for at arbejde med børn og voksne med særlige behov, især inden for sprog og høre. jeg vil gerne forstå de videnskabelige og pædagogiske aspekter bag kommunikationsvanskeligheder og bidrage til at løse dem. hvad laver en audiologopæd? audiologopædi jobmuligheder praktikpladser inden for logopædi eller audiologi talepædagog logopæd hørepædagog audiologopæd"
bachelor global humanities,Humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/bachelor-global-humanities,"global humanities. humaniora. giver dig international og tværfaglig humanistisk viden og specialisering i to fag. n global humanities er en engelsksproget, humanistisk , hvor du specialiserer dig i en tværfaglig kombination af to fag. du kan vælge blandt en række forskellige fastlagte kombinationer af fag. mindst et af fagene skal være inden for humaniora. du bliver undervist i emner inden for bl. a. filosofi, litteraturhistorie, udviklingsstudier, historie, sprogvidenskab og kommunikation. giver dig mulighed for at fortsætte på en kandidat. undervisningen foregår på engelsk og veksler mellem projektarbejde, kurser og forelæsninger. projektarbejdet udgør ca. halvdelen af , og arbejdet sker i grupper med en underviser tilknyttet hver projektgruppe. . jobmuligheder dine jobmuligheder som færdiguddannet afhænger af dit valg af kandidat. du specialiserer dig i en tværfaglig kombination af to fag. jeg er passioneret omkring tværfaglige humanistiske emner som filosofi og historie, og vil gerne kombinere fag for at forstå globale udfordringer. jeg elsker at arbejde med sprog, kultur og kommunikation på engelsk i en international kontekst. jeg vil gerne undersøge, hvordan litteratur og udviklingsstudier kan bidrage til en bedre forståelse af verden. global humanities jobmuligheder hvilke kandidatr kan jeg tage efter global humanities? sammenligning af humanistiske tværfaglige international projektkoordinator kultur og kommunikationskonsulent"
biblioteksvidenskab it og kommunikation,Humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/biblioteksvidenskab-it-og-kommunikation,"biblioteksvidenskab it og kommunikation. humaniora. kombinerer kultur, medie og informationsvidenskab med pædagogik og formidling. du lærer at finde, systematisere og videregive alle former for information og viden både online og offline. samtidig lærer du at lede og udføre projekter og vidensprocesser i virksomheder og organisationer. du har mulighed for at læse videre på en kandidat. som færdiguddannet vil du have jobmuligheder som projektleder, informationsspecialist eller vidensformidler i såvel offentlige som private virksomheder eller kulturinstitutioner. undervisningen foregår blandt andet som holdundervisning, forelæsninger, ekskursioner, elæring, feltarbejde samt gruppe og projektarbejde. praktik og udlandsophold på 5. semester lægges der op til, at du kommer ud i et projektorienteret forløb praktik i en virksomhed eller organisation. der er også mulighed for, at du kan tilbringe semestret på et udenlandsk universitet. webkommunikation jobmuligheder du kan arbejde med at håndtere, systematisere og organisere store mængder information og viden samt at formidle viden, afvikle projekter eller servicere og vejlede brugere. det kan være i såvel offentlige som private virksomheder eller kulturinstitutioner. du kan blive ansat som fx projektleder, informationsspecialist, vidensformidler, analysemedarbejder, webmedarbejder, kulturformidler, bibliotekar eller eventmager. arbejdsområder bibliotekar og arkivarbejde administrativt arbejde få mere at vide se oversigt over itr på universiteterne futurepeople. dk du lærer at finde, systematisere og videregive alle former for information og viden både online og offline. jeg brænder for at organisere og formidle viden på tværs af digitale og analoge platforme. jeg er fascineret af, hvordan information kan struktureres og gøres tilgængelig for forskellige målgrupper. min interesse ligger i projektledelse og vidensdeling, især i kultur eller virksomhedssammenhænge. karrieremuligheder inden for biblioteksvidenskab og informationsformidling praktikpladser til projektorienteret arbejde i vidensorganisationer kombination af medievidenskab og pædagogik i r informationsspecialist f. eks. i en kommune eller virksomhed kulturformidler f. eks. på museum eller bibliotek"
