titel,kategori,url,combined_text
International virksomhedskommunikation fremmedsprog,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-fremmedsprog,"International virksomhedskommunikation fremmedsprog.Erhvervssprog.Den erhvervssproglige uddannelse giver dig kendskab til to fremmedsprog samt viden om kulturelle og samfunds- og erhvervsmæssige forhold i sprogområdet. Uddannelsen kombinerer fremmedsprog og kommunikation og lærer dig at løse internationale kommunikationsopgaver for virksomheder. Du får desuden viden om bl.a. markedsføring, organisation og virksomhedsforståelse. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder som færdiguddannet kan være meget forskellige. Du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingsmedarbejder med opgaver inden for salg, eksport og markedsføring. Som informations- og kommunikationsmedarbejder vil du kunne arbejde med kommunikation internt og eksternt i virksomheder. Arbejdsområder Kommunikation og erhvervssprogligt arbejde Vigtige pointer: Du får desuden viden om bl.a. markedsføring, organisation og virksomhedsforståelse."
International virksomhedskommunikation i engelsk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-engelsk,"International virksomhedskommunikation i engelsk.Erhvervssprog.Uddannelsen kombinerer undervisning i sproget engelsk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. Uddannelsen er internationalt orienteret og handler om kommunikation på tværs af geografiske og kulturelle grænser. Du får også viden om engelsktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold. Udlandsophold Der er mulighed for ophold i udlandet under uddannelsen. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder som færdiguddannet kan være meget forskellige. Du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. Du kan også finde job som informations- eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. Arbejdsområder Administrativt arbejde Kommunikation og erhvervssprogligt arbejde Få mere at vide Se oversigt over it-uddannelser på universiteterne (futurepeople.dk) Vigtige pointer: Du får også viden om engelsktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold."
International virksomhedskommunikation i fransk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-fransk,"International virksomhedskommunikation i fransk.Erhvervssprog.Uddannelsen kombinerer undervisning i sproget fransk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. Uddannelsen er internationalt orienteret, og du får viden om fransktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold. Udlandsophold Der er mulighed for ophold i udlandet under uddannelsen. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder som færdiguddannet kan være meget forskellige. Du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. Du kan også finde job som informations- eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. Arbejdsområder Administrativt arbejde Kommunikation og erhvervssprogligt arbejde Vigtige pointer: du får viden om fransktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold."
International virksomhedskommunikation i spansk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-spansk,"International virksomhedskommunikation i spansk.Erhvervssprog.Uddannelsen kombinerer undervisning i sproget spansk med undervisning i virksomheders kommunikationsformer, organisering og markedsføring. Uddannelsen er internationalt orienteret, og du får også viden om spansktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold. Der er forskellige specialiseringsmuligheder på uddannelsen. Udlandsophold Der er mulighed for ophold i udlandet under uddannelsen. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder som færdiguddannet kan være meget forskellige. Du kan dels arbejde som sprogmedarbejder inden for oversættelse, korrespondance og kommunikation, dels som marketingmedarbejder med opgaver inden for salg, eksport og markedsføring. Du kan også finde job som informations- eller kommunikationsmedarbejder og arbejde med kommunikation internt og eksternt i virksomheder. Arbejdsområder Administrativt arbejde Kommunikation og erhvervssprogligt arbejde Vigtige pointer: du får også viden om spansktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold."
International virksomhedskommunikation i tysk,Erhvervssprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-tysk,"International virksomhedskommunikation i tysk.Erhvervssprog.Uddannelsen kombinerer undervisning i sproget tysk med undervisning i virksomheders kommunikationsformer samt deres organisering og markedsføring. Uddannelsen er internationalt orienteret, og du får også viden om tysktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold. Der er forskellige specialiseringsmuligheder på uddannelsen. Udlandsophold Der er mulighed for ophold i udlandet under uddannelsen. Erhvervssprog og international virksomhedskommunikation Dine konkrete muligheder afhænger af bacheloruddannelsens sammensætning. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder som færdiguddannet kan være meget forskellige. Du kan fx finde arbejde som: Sprogmedarbejder inden for oversættelse, korrespondance og kommunikation Marketingmedarbejder med opgaver inden for salg, eksport og markedsføring Informations- eller kommunikationsmedarbejder og arbejde med Intern og ekstern kommunikation i virksomheder Arbejdsområder Administrativt arbejde Kommunikation og erhvervssprogligt arbejde . Vigtige pointer: du får også viden om tysktalende landes markedsforhold og deres kultur-, erhvervs- og samfundsforhold."
Anvendt filosofi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi,"Anvendt filosofi.Øvrige humaniora.På bacheloruddannelsen i anvendt filosofi lærer du at bruge filosofien i forhold til nutidige problemstillinger. Du får færdigheder i at benytte filosofiens teorier og metoder til konkrete udviklingstiltag og problemløsninger i forskellige sammenhænge. Efter bacheloruddannelsen kan du fortsætte på en kandidatuddannelse. Som færdiguddannet kandidat vil du have jobmuligheder inden for alle brancher, der efterspørger problemorienteret tænkning og konkrete løsninger. Det kan fx være i det private erhvervsliv, offentlig administration eller i undervisningsbranchen..Undervisningen veksler mellem holdundervisning, forelæsninger og projektarbejde. Udlandsophold Der er mulighed for ophold i udlandet under uddannelsen. Anvendt filosofi Bemærk : Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Du vil have fremtidige jobmuligheder inden for alle brancher, hvor der efterspørges problemorienteret tænkning og konkrete løsninger. Det kan fx være i det private erhvervsliv, offentlig administration eller i undervisningsbranchen. Arbejdsområder Administrativt arbejde Undervisning og vejledning Vigtige pointer: Du får færdigheder i at benytte filosofiens teorier og metoder til konkrete udviklingstiltag og problemløsninger i forskellige sammenhænge."
Arkaeologi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/arkaeologi,"Arkaeologi.Øvrige humaniora.På uddannelsen i arkæologi lærer du om fortidens levn i Danmark fra de tidligste mennesker til vikingetiden, middelalderen, renæssancen og op til i dag. Uddannelsen i arkæologi ved AU er en sammenlægning af de to tidligere bacheloruddannelser i henholdsvis historisk arkæologi og forhistorisk arkæologi. Uddannelsen beskæftiger sig med fortidige menneskers liv, færden, kultur og samfund. Du vil efterfølgende have jobmuligheder inden for arkæologisk virksomhed og formidling..Undervisningen veksler mellem forelæsninger, holdundervisning, øvelser og vejledningstimer. Feltpraktik Uddanelsen omfatter feltpraktik, hvor du deltager i udgravningsarbejde. Ud over at lære udgravningsteknik får du viden om, hvordan man bearbejder og systematiserer arkæologiske fund. Feltpraktikken foregår fortrinsvis i Danmark. Arkæologi Sustainable Heritage Management Æstetik og kultur Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Den samlede uddannelse giver dig jobmuligheder inden for arkæologisk virksomhed og formidling. Arbejdsområder Kultur- og museumsarbejde Forskning og universitetsundervisning"
Audiologopaedi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/audiologopaedi,"Audiologopaedi.Øvrige humaniora.Bacheloruddannelsen i audiologopædi handler om, hvordan man undersøger og forebygger sprog-, tale- og hørevanskeligheder hos børn og voksne. Du får indsigt i, hvordan man frembringer og opfatter tale, og om hvad der kan forårsage sprog-, tale- og hørevanskeligheder. Du får undervisning i såvel sprogvidenskab som i talepædagogiske fag. Bacheloruddannelsen giver adgang til at læse videre på en kandidatuddannelse. Jobmulighederne som færdiguddannet vil typisk være inden for specialundervisning på kontorer for Pædagogisk Psykologisk Rådgivning (PPR), ved kommunikationscentre samt tale- og høreinstitutter eller tilsvarende..Undervisningen veksler mellem forelæsninger, holdundervisning med studenteroplæg og diskussion, underviserstyret undervisning og mere selvstændigt projektarbejde, som ofte er gruppebaseret. Praktik Audiologopædi Bemærk : Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Du vil som færdiguddannet have jobmuligheder inden for såvel talepædagogik (logopædi) som hørepædagogik (audiologi). Størstedelen af audiologopæder arbejder i det offentlige inden for specialundervisning ved kommunikationscentre og tale- og høreinstitutter. Du har endvidere mulighed for at arbejde i hospitalssektoren eller ved private firmaer i høreapparatindustrien. Arbejdsområder Teknisk sundhedsarbejde Vigtige pointer: Du får indsigt i, hvordan man frembringer og opfatter tale, og om hvad der kan forårsage sprog-, tale- og hørevanskeligheder. Du får undervisning i såvel sprogvidenskab som i talepædagogiske fag."
Bachelor global humanities,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/bachelor-global-humanities,"Bachelor global humanities.Øvrige humaniora.Uddannelsen giver dig international og tværfaglig humanistisk viden og specialisering i to bachelorfag. Bachelor in Global Humanities er en engelsksproget, humanistisk bacheloruddannelse, hvor du specialiserer dig i en tværfaglig kombination af to bachelorfag. Du kan vælge blandt en række forskellige fastlagte kombinationer af fag. Mindst et af fagene skal være inden for humaniora. Du bliver undervist i emner inden for bl.a. filosofi, litteraturhistorie, udviklingsstudier, historie, sprogvidenskab og kommunikation. Bacheloruddannelsen giver dig mulighed for at fortsætte på en kandidatuddannelse..Undervisningen foregår på engelsk og veksler mellem projektarbejde, kurser og forelæsninger. Projektarbejdet udgør ca. halvdelen af uddannelsen, og arbejdet sker i grupper med en underviser tilknyttet hver projektgruppe. Sprog Al undervisning foregår på engelsk. Jobmuligheder Dine jobmuligheder som færdiguddannet afhænger af dit valg af kandidatuddannelse. Vigtige pointer: du specialiserer dig i en tværfaglig kombination af to bachelorfag."
Biblioteksvidenskab it og kommunikation,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/biblioteksvidenskab-it-og-kommunikation,"Biblioteksvidenskab it og kommunikation.Øvrige humaniora.Uddannelsen kombinerer kultur-, medie- og informationsvidenskab med pædagogik og formidling. Du lærer at finde, systematisere og videregive alle former for information og viden både online og offline. Samtidig lærer du at lede og udføre projekter og vidensprocesser i virksomheder og organisationer. Du har mulighed for at læse videre på en kandidatuddannelse. Som færdiguddannet vil du have jobmuligheder som projektleder, informationsspecialist eller vidensformidler i såvel offentlige som private virksomheder eller kulturinstitutioner..Undervisningen foregår blandt andet som holdundervisning, forelæsninger, ekskursioner, e-læring, feltarbejde samt gruppe- og projektarbejde. Praktik og udlandsophold På 5. semester lægges der op til, at du kommer ud i et projektorienteret forløb (praktik) i en virksomhed eller organisation. Der er også mulighed for, at du kan tilbringe semestret på et udenlandsk universitet. Webkommunikation Jobmuligheder Du kan arbejde med at håndtere, systematisere og organisere store mængder information og viden samt at formidle viden, afvikle projekter eller servicere og vejlede brugere. Det kan være i såvel offentlige som private virksomheder eller kulturinstitutioner. Du kan blive ansat som fx projektleder, informationsspecialist, vidensformidler, analysemedarbejder, webmedarbejder, kulturformidler, bibliotekar eller eventmager. Arbejdsområder Bibliotekar- og arkivarbejde Administrativt arbejde Få mere at vide Se oversigt over it-uddannelser på universiteterne (futurepeople.dk) Vigtige pointer: Du lærer at finde, systematisere og videregive alle former for information og viden både online og offline."
