kategori,titel,url
Erhvervssprog,International virksomhedskommunikation fremmedsprog,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-fremmedsprog
Erhvervssprog,International virksomhedskommunikation i engelsk,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-engelsk
Erhvervssprog,International virksomhedskommunikation i fransk,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-fransk
Erhvervssprog,International virksomhedskommunikation i spansk,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-spansk
Erhvervssprog,International virksomhedskommunikation i tysk,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-tysk
Øvrige humaniora,Anvendt filosofi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi
Øvrige humaniora,Arkaeologi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/arkaeologi
Øvrige humaniora,Audiologopaedi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/audiologopaedi
Øvrige humaniora,Bachelor global humanities,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/bachelor-global-humanities
Øvrige humaniora,Biblioteksvidenskab it og kommunikation,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/biblioteksvidenskab-it-og-kommunikation
Øvrige humaniora,Cognitive science,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/cognitive-science
Øvrige humaniora,Dansk,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dansk
Øvrige humaniora,Designkultur med mode og erhvervsoekonomi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/designkultur-med-mode-og-erhvervsoekonomi
Øvrige humaniora,Designkultur med rum og aestetik,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/designkultur-med-rum-og-aestetik
Øvrige humaniora,Digital design it aestetik og interaktion,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/digital-design-it-aestetik-og-interaktion
Øvrige humaniora,Digital design med interaktionsstudier og it,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/digital-design-med-interaktionsstudier-og-it
Øvrige humaniora,Dramaturgi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dramaturgi
Øvrige humaniora,Europaeisk etnologi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/europaeisk-etnologi
Øvrige humaniora,Film og medievidenskab,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/film-og-medievidenskab
Øvrige humaniora,Filosofi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/filosofi
